index_num,date,Strike,Calls,Puts
40,20-Jan,300,65.25,21.3
41,20-Jan,305,62,23.2
42,20-Jan,310,58.99,24.94
43,20-Jan,315,55.17,26.74
44,20-Jan,320,52.55,28.55
45,20-Jan,325,49.55,30.6
46,20-Jan,330,46.2,32.55
47,20-Jan,335,43.96,34.34
48,20-Jan,340,41.15,37.4
49,20-Jan,345,38.7,39.45
50,20-Jan,350,36.35,42.3
51,20-Jan,355,34.24,45.52
52,20-Jan,360,31.95,46.85
53,20-Jan,365,30.15,54.45
54,20-Jan,370,27.77,52.97
55,20-Jan,375,26.35,56.2
56,20-Jan,380,24.1,61.4
57,20-Jan,385,22.65,67.25
58,20-Jan,390,20.8,65.75
59,20-Jan,395,19.65,75.5
60,20-Jan,400,17.69,72.4
61,20-Jan,405,16.4,90.85
62,20-Jan,410,15.6,82.26
63,20-Jan,415,14.3,84.74
64,20-Jan,420,13.4,88.66
65,20-Jan,425,12.16,99.55
66,20-Jan,430,9.55,102.37
67,20-Jan,435,10.75,103.55
68,20-Jan,440,9.9,142.65
69,20-Jan,450,8.31,114.02
70,20-Jan,460,7.23,128.03
71,20-Jan,470,6.35,137.1
72,20-Jan,480,5.49,148.5
73,20-Jan,490,4.8,158.15
74,20-Jan,500,3.9,165.6
